Axis pair,gray entropy,color entropy,weighted gray,weighted color,joint entropy
volatile fixed,0.5754321217536926,0.5754321217536926,0.2123739868402481,0.2123739868402481,-3.5967371463775635
citric fixed,0.6825883984565735,0.6825883984565735,0.15879584848880768,0.15879584848880768,-3.8418848514556885
citric volatile,0.5864410400390625,0.5864410400390625,0.20686952769756317,0.20686952769756317,-4.004878997802734
residual fixed,0.5027151107788086,0.5027151107788086,0.24873249232769012,0.24873249232769012,-4.526065826416016
residual volatile,0.44425511360168457,0.44425511360168457,0.27796250581741333,0.27796250581741333,-4.7485504150390625
residual citric,0.5006664395332336,0.5006664395332336,0.2497568279504776,0.2497568279504776,-4.541064739227295
chlorides fixed,0.48259565234184265,0.48259565234184265,0.2587922215461731,0.2587922215461731,-3.7192928791046143
chlorides volatile,0.4340655207633972,0.4340655207633972,0.283057302236557,0.283057302236557,-3.8099312782287598
chlorides citric,0.4785623550415039,0.4785623550415039,0.26080888509750366,0.26080888509750366,-3.6677629947662354
chlorides residual,0.37236928939819336,0.37236928939819336,0.31390541791915894,0.31390541791915894,-3.199270009994507
free fixed,0.6070012450218201,0.6070012450218201,0.1965894252061844,0.1965894252061844,-4.559215545654297
free volatile,0.5727303624153137,0.5727303624153137,0.21372486650943756,0.21372486650943756,-4.685392379760742
free citric,0.6259025931358337,0.6259025931358337,0.18713875114917755,0.18713875114917755,-4.487392425537109
free residual,0.4928537905216217,0.4928537905216217,0.25366318225860596,0.25366318225860596,-3.7862706184387207
free chlorides,0.4980284571647644,0.4980284571647644,0.2510758340358734,0.2510758340358734,-4.6191935539245605
total fixed,0.536768913269043,0.536768913269043,0.23170559108257294,0.23170559108257294,-3.4543488025665283
total volatile,0.5015647411346436,0.5015647411346436,0.24930767714977264,0.24930767714977264,-3.4950644969940186
total citric,0.5532463192939758,0.5532463192939758,0.2234668880701065,0.2234668880701065,-3.3670289516448975
total residual,0.43358975648880005,0.43358975648880005,0.2832951843738556,0.2832951843738556,-3.0338358879089355
total chlorides,0.4280320703983307,0.4280320703983307,0.28607404232025146,0.28607404232025146,-3.4874958992004395
total free,0.5273680090904236,0.5273680090904236,0.23640604317188263,0.23640604317188263,-2.80476713180542
density fixed,0.662256121635437,0.662256121635437,0.16896198689937592,0.16896198689937592,-2.3563928604125977
density volatile,0.6022003293037415,0.6022003293037415,0.1989898830652237,0.1989898830652237,-2.4999606609344482
density citric,0.6822588443756104,0.6822588443756104,0.15896062552928925,0.15896062552928925,-2.4122564792633057
density residual,0.5712226629257202,0.5712226629257202,0.21447871625423431,0.21447871625423431,-2.2080776691436768
density chlorides,0.5587871670722961,0.5587871670722961,0.22069646418094635,0.22069646418094635,-2.4464216232299805
density free,0.6091437935829163,0.6091437935829163,0.1955181509256363,0.1955181509256363,-2.3457233905792236
density total,0.6007680296897888,0.6007680296897888,0.1997060328722,0.1997060328722,-2.490858554840088
pH fixed,0.548401951789856,0.548401951789856,0.22588907182216644,0.22588907182216644,-3.838679313659668
pH volatile,0.5626237392425537,0.5626237392425537,0.21877817809581757,0.21877817809581757,-4.090607643127441
pH citric,0.568088173866272,0.568088173866272,0.21604596078395844,0.21604596078395844,-3.8695268630981445
pH residual,0.49292927980422974,0.49292927980422974,0.25362542271614075,0.25362542271614075,-3.4441516399383545
pH chlorides,0.4775236248970032,0.4775236248970032,0.26132825016975403,0.26132825016975403,-4.038975715637207
pH free,0.5677635073661804,0.5677635073661804,0.2162082940340042,0.2162082940340042,-3.7212281227111816
pH total,0.5408100485801697,0.5408100485801697,0.22968502342700958,0.22968502342700958,-4.123254776000977
pH density,0.560232400894165,0.560232400894165,0.2199738472700119,0.2199738472700119,-4.203808784484863
sulphates fixed,0.5349059104919434,0.5349059104919434,0.23263709247112274,0.23263709247112274,-4.042490005493164
sulphates volatile,0.4772177040576935,0.4772177040576935,0.26148122549057007,0.26148122549057007,-4.223689556121826
sulphates citric,0.5554196834564209,0.5554196834564209,0.22238020598888397,0.22238020598888397,-4.028472900390625
sulphates residual,0.4436953365802765,0.4436953365802765,0.27824240922927856,0.27824240922927856,-3.5258469581604004
sulphates chlorides,0.4016513526439667,0.4016513526439667,0.2992643713951111,0.2992643713951111,-4.14194917678833
sulphates free,0.5054812431335449,0.5054812431335449,0.24734942615032196,0.24734942615032196,-3.747912645339966
sulphates total,0.4714515507221222,0.4714515507221222,0.2643643021583557,0.2643643021583557,-4.2838287353515625
sulphates density,0.5278540253639221,0.5278540253639221,0.23616303503513336,0.23616303503513336,-4.382113456726074
sulphates pH,0.4823952615261078,0.4823952615261078,0.2588924169540405,0.2588924169540405,-4.077219486236572
alcohol fixed,0.62138831615448,0.62138831615448,0.18939588963985443,0.18939588963985443,-4.4046711921691895
alcohol volatile,0.5933013558387756,0.5933013558387756,0.2034393697977066,0.2034393697977066,-4.571067810058594
alcohol citric,0.6597003936767578,0.6597003936767578,0.17023985087871552,0.17023985087871552,-4.407292366027832
alcohol residual,0.5475553274154663,0.5475553274154663,0.22631238400936127,0.22631238400936127,-3.7085981369018555
alcohol chlorides,0.5078638195991516,0.5078638195991516,0.24615813791751862,0.24615813791751862,-4.4829864501953125
alcohol free,0.6133981347084045,0.6133981347084045,0.19339098036289215,0.19339098036289215,-4.085310459136963
alcohol total,0.578882098197937,0.578882098197937,0.21064899861812592,0.21064899861812592,-4.693445205688477
alcohol density,0.5893535017967224,0.5893535017967224,0.20541329681873322,0.20541329681873322,-4.761587619781494
alcohol pH,0.6016495823860168,0.6016495823860168,0.199265256524086,0.199265256524086,-4.4084296226501465
alcohol sulphates,0.5802111029624939,0.5802111029624939,0.20998449623584747,0.20998449623584747,-4.297976016998291
quality fixed,0.4763360917568207,0.4763360917568207,0.2619220018386841,0.2619220018386841,-5.69963264465332
quality volatile,0.48327887058258057,0.48327887058258057,0.25845062732696533,0.25845062732696533,-5.996133327484131
quality citric,0.4572608768939972,0.4572608768939972,0.2714596390724182,0.2714596390724182,-5.638002395629883
quality residual,0.39377856254577637,0.39377856254577637,0.30320078134536743,0.30320078134536743,-4.581343173980713
quality chlorides,0.37038859724998474,0.37038859724998474,0.31489574909210205,0.31489574909210205,-5.920958518981934
quality free,0.37522903084754944,0.37522903084754944,0.3124755620956421,0.3124755620956421,-4.938116073608398
quality total,0.4489295780658722,0.4489295780658722,0.2756252884864807,0.2756252884864807,-6.275515556335449
quality density,0.5474309921264648,0.5474309921264648,0.226374551653862,0.226374551653862,-7.053015232086182
quality pH,0.4448694586753845,0.4448694586753845,0.27765533328056335,0.27765533328056335,-5.704936981201172
quality sulphates,0.43014857172966003,0.43014857172966003,0.2850157618522644,0.2850157618522644,-5.411776542663574
quality alcohol,0.3658488690853119,0.3658488690853119,0.3171656131744385,0.3171656131744385,-4.8284807205200195
